Date,Open,High,Low,Close,Adj Close,Volume,Crypto
"Mar 29, 2023",20.47,21.51,20.46,21.11,21.11,"378,726,667",Solana (SOL)
"Mar 28, 2023",19.92,20.76,19.67,20.47,20.47,"347,656,506",Solana (SOL)
"Mar 27, 2023",20.98,20.98,19.51,19.92,19.92,"359,607,077",Solana (SOL)
"Mar 26, 2023",20.44,21.13,20.35,20.98,20.98,"226,663,968",Solana (SOL)
"Mar 25, 2023",20.68,20.95,20.18,20.45,20.45,"272,949,711",Solana (SOL)
"Mar 24, 2023",22.21,22.26,20.36,20.68,20.68,"547,225,198",Solana (SOL)
"Mar 23, 2023",21.48,22.70,21.22,22.22,22.22,"555,730,954",Solana (SOL)
"Mar 22, 2023",22.61,23.07,21.15,21.48,21.48,"851,680,842",Solana (SOL)
"Mar 21, 2023",22.18,23.22,21.64,22.62,22.62,"745,081,556",Solana (SOL)
"Mar 20, 2023",21.90,23.83,21.59,22.18,22.18,"1,147,250,538",Solana (SOL)
"Mar 19, 2023",21.20,22.45,21.20,21.90,21.90,"475,166,077",Solana (SOL)
"Mar 18, 2023",21.63,22.86,21.14,21.20,21.20,"789,771,840",Solana (SOL)
"Mar 17, 2023",19.73,21.68,19.50,21.63,21.63,"623,518,286",Solana (SOL)
"Mar 16, 2023",19.30,19.88,19.04,19.73,19.73,"438,673,097",Solana (SOL)
"Mar 15, 2023",20.94,21.49,18.83,19.29,19.29,"816,614,774",Solana (SOL)
"Mar 14, 2023",20.43,22.11,19.91,20.93,20.93,"1,130,224,251",Solana (SOL)
"Mar 13, 2023",20.31,21.34,18.96,20.43,20.43,"1,161,164,364",Solana (SOL)
"Mar 12, 2023",18.22,20.39,17.94,20.31,20.31,"666,940,879",Solana (SOL)
"Mar 11, 2023",18.24,18.85,17.17,18.23,18.23,"696,894,876",Solana (SOL)
"Mar 10, 2023",17.31,18.32,16.12,18.24,18.24,"944,032,048",Solana (SOL)
"Mar 9, 2023",18.42,18.69,16.94,17.31,17.31,"754,162,560",Solana (SOL)
"Mar 8, 2023",20.24,20.33,18.29,18.42,18.42,"620,543,521",Solana (SOL)
"Mar 7, 2023",20.63,20.89,19.82,20.24,20.24,"394,901,279",Solana (SOL)
"Mar 6, 2023",20.98,21.10,20.52,20.64,20.64,"318,022,843",Solana (SOL)
"Mar 5, 2023",20.97,21.62,20.90,20.98,20.98,"278,729,462",Solana (SOL)
"Mar 4, 2023",21.40,21.54,20.37,20.97,20.97,"249,364,880",Solana (SOL)
"Mar 3, 2023",21.99,22.00,20.54,21.40,21.40,"489,228,523",Solana (SOL)
"Mar 2, 2023",22.51,22.58,21.73,21.98,21.98,"322,545,445",Solana (SOL)
"Mar 1, 2023",21.91,22.80,21.74,22.51,22.51,"346,532,018",Solana (SOL)
"Feb 28, 2023",22.69,22.73,21.83,21.92,21.92,"351,065,863",Solana (SOL)
"Feb 27, 2023",23.26,23.37,22.40,22.69,22.69,"475,987,023",Solana (SOL)
"Feb 26, 2023",22.52,23.48,22.32,23.26,23.26,"370,371,591",Solana (SOL)
"Feb 25, 2023",23.06,23.27,21.64,22.52,22.52,"547,286,025",Solana (SOL)
"Feb 24, 2023",23.90,24.06,22.64,23.05,23.05,"612,377,428",Solana (SOL)
"Feb 23, 2023",24.18,24.64,23.68,23.90,23.90,"579,213,279",Solana (SOL)
"Feb 22, 2023",24.95,25.14,23.38,24.18,24.18,"892,548,647",Solana (SOL)
"Feb 21, 2023",26.18,26.42,24.67,24.95,24.95,"925,847,245",Solana (SOL)
"Feb 20, 2023",24.85,26.93,24.34,26.18,26.18,"1,459,545,676",Solana (SOL)
"Feb 19, 2023",23.48,25.52,23.27,24.84,24.84,"993,875,671",Solana (SOL)
"Feb 18, 2023",23.17,23.76,22.97,23.48,23.48,"370,892,073",Solana (SOL)
"Feb 17, 2023",22.28,23.49,22.15,23.17,23.17,"580,803,415",Solana (SOL)
"Feb 16, 2023",23.88,24.03,22.26,22.29,22.29,"885,086,333",Solana (SOL)
"Feb 15, 2023",21.82,23.90,21.50,23.88,23.88,"747,616,299",Solana (SOL)
"Feb 14, 2023",20.78,22.25,20.71,21.82,21.82,"865,868,623",Solana (SOL)
"Feb 13, 2023",21.49,21.53,19.87,20.79,20.79,"693,292,656",Solana (SOL)
"Feb 12, 2023",20.83,22.26,20.65,21.49,21.49,"532,943,787",Solana (SOL)
"Feb 11, 2023",20.13,20.86,20.12,20.83,20.83,"267,159,267",Solana (SOL)
"Feb 10, 2023",20.45,21.12,19.84,20.13,20.13,"654,189,930",Solana (SOL)
"Feb 9, 2023",23.20,23.28,20.20,20.45,20.45,"797,436,250",Solana (SOL)
"Feb 8, 2023",23.86,24.15,22.88,23.19,23.19,"534,148,944",Solana (SOL)
"Feb 7, 2023",22.70,23.90,22.61,23.86,23.86,"625,438,600",Solana (SOL)
"Feb 6, 2023",23.49,23.69,22.60,22.71,22.71,"449,884,793",Solana (SOL)
"Feb 5, 2023",24.32,24.43,23.12,23.49,23.49,"578,466,008",Solana (SOL)
"Feb 4, 2023",24.68,24.89,24.32,24.32,24.32,"321,758,043",Solana (SOL)
"Feb 3, 2023",24.26,25.00,24.12,24.68,24.68,"643,813,200",Solana (SOL)
"Feb 2, 2023",24.99,26.04,24.25,24.27,24.27,"1,017,290,364",Solana (SOL)
